,Datetime,Tweet Id,Text,Username
0,2021-11-21 07:05:29+00:00,1462316218258395142,"@GooglePay @Googlepay__ case no.
3-7560000031725.. its been 6 months but my money is stuck with you n ur customer care is pathetic to resolve it till date.",UpliftSolution2
1,2021-09-25 09:22:12+00:00,1441694516524695555,"@GooglePay @zazzle Dear googal pay team this is inform  to you rs10k deducted wrongly its happening 2/09/2021 And I rease many companies but your customer care not respond correctly kindly resolve the ISSUES...
PARDEEP JANGRA-8818064777",jangrapardeep09
2,2021-09-14 07:59:13+00:00,1437687366588661762,@achchhabachcha @GooglePay @BSEIndia @TheOfficialSBI Customer care number...9692347119,SaniyaK46478466
3,2021-09-06 09:17:41+00:00,1434808008408584202,"@GooglePay what pathetic services you have and on top of that the illiterate customer care executive you have hired and working for you ! I made one Transaction on August 24th 2021 at 11:04 PM the transaction id : 123685055146, can anyone get in touch with me to resolve this.",Prashant1389_ga
4,2021-07-07 14:27:32+00:00,1412780324539359238,"@GooglePay very very poor service not help all team please call me immediately and shear customer care number
My name is PARVEEN KUMAR contact number 9653368690",INDIAFASTSERVI2
5,2021-07-07 11:14:02+00:00,1412731631434014724,"@Paytm @Paytmcare 
I'm working on behalf of Hangout Cakes IT Department, plz arrange a call back as we have to stop accepting payments on @Paytm from our customers. we are now only able to accept payments on @PhonePe_ @GooglePay @bharat_pe_Care plz ask ur team 2 call 7506470063",NinjaFoxxx
6,2021-07-06 08:50:58+00:00,1412333236814974983,"@GooglePayIndia @GooglePay Filed a complaint on March 7,21 case I’d[7-5580000031199]. Still no response from customer care team. How long should I wait more to get it resolved ??@PhonePeSupport @Paytm @amazonpay",rehan__wazir
7,2021-06-30 07:28:10+00:00,1410138074219089922,"@GooglePay  வணக்கம்
நுகரவோர் குறை
தீர்க்க தமிழ் பிரிவை
அமைக்க பணிவுடன்
கோருகிறேன்
காரணம்
1) நான்9150474915
என்ற எண்ணுக்கு
4-6-21 அன்று ₹ 149/-
ரீசார்ஜ் செய்தேன் யுபிஐ
எண் 115500180169
இரவு 7.40 மணி
euronetpay@icici
Google cicagodu4nkpya
 customer Care phone செய்தால் 1/2",ChinnuKjeeva
8,2021-06-14 07:45:22+00:00,1404344197524512770,"@GooglePay I have done the transaction to other a/c on 31 may 2021, the receiver  is nt receiving the money till now N no one is responding on customer care no. N also no response on customer care chat. Kindly suggest how I will get my money refund.
M: 8219774817 Suman",07sumanbhardwaj
9,2021-05-21 17:20:07+00:00,1395791526412787718,"@ICICIBank_Care @ICICIBank @GooglePayIndia @GooglePay Money deducted from icici BHIM UPI but not credited to gpay contact. Are you both cheating customers? Where is the money gone? I need answer. Beware of scammers. +918967455144
+918420390656 @ICICIBank @ICICIBank_Care",AmitSha13264684
